,Titulo,Año de estreno - Año finalización,Generos
5773,El gran pez,2003,"Adventure, Drama, Fantasy"
5774,The King's Daughter,2022,"Action, Adventure, Family"
5775,Xena: La princesa guerrera,1995–2001,"Action, Adventure, Drama"
5776,Bichos: una aventura en miniatura,1998,"Animation, Adventure, Comedy"
5777,Dolittle,2020,"Adventure, Comedy, Family"
5778,Palm Springs,2020,"Comedy, Fantasy, Mystery"
5779,Star Wars: The Bad Batch,2021– ,"Animation, Action, Adventure"
5780,Castle Rock,2018–2019,"Drama, Fantasy, Horror"
5781,Laberinto,1986,"Adventure, Family, Fantasy"
5782,Warcraft: El Primer Encuentro de Dos Mundos,2016,"Action, Adventure, Fantasy"
5783,Sábado 14,1981,"Comedy, Fantasy, Horror"
5784,Toy Story 4,2019,"Animation, Adventure, Comedy"
5785,La vieja guardia,2020,"Action, Adventure, Fantasy"
5786,"Sabrina, la bruja adolescente",1996–2003,"Comedy, Family, Fantasy"
5787,Dr. Strange,1978 TV Movie,"Action, Fantasy"
5788,La increíble vida de Walter Mitty,2013,"Adventure, Comedy, Drama"
5789,El mundo oculto de Sabrina,2018–2020,"Drama, Fantasy, Horror"
5790,One Punch Man,2015–2019,"Animation, Action, Comedy"
5791,Travesuras de un lobo adolescente,1985,"Comedy, Fantasy, Romance"
5792,Invasión,2021– ,"Drama, Fantasy, Sci-Fi"
5793,La leyenda de Korra,2012–2014,"Animation, Action, Adventure"
5794,Destino: La saga Winx,2021– ,"Action, Adventure, Drama"
5795,Cordero,2021,"Drama, Fantasy, Horror"
5796,Los Locos Addams 2,2021,"Animation, Adventure, Comedy"
5797,La historia sin fin,1984,"Adventure, Drama, Family"
5798,Sucker Punch: Mundo surreal,2011,"Action, Adventure, Fantasy"
5799,Mulán,2020,"Action, Adventure, Drama"
5800,Si yo tuviera 30,2004,"Comedy, Fantasy, Romance"
5801,Abracadabra,1993,"Comedy, Family, Fantasy"
5802,Pixeles,2015,"Action, Comedy, Fantasy"
5803,Un Show Más,2009–2017,"Animation, Action, Adventure"
5804,High School DxD,2012–2018,"Animation, Action, Comedy"
5805,Jóvenes brujas,1996,"Drama, Fantasy, Horror"
5806,Kung Fu Panda,2008,"Animation, Action, Adventure"
5807,Cats,2019,"Comedy, Drama, Family"
5808,Coraline y la puerta secreta,2009,"Animation, Drama, Family"
5809,Pinocchio,I) (2022,"Adventure, Comedy, Drama"
5810,Batman regresa,1992,"Action, Crime, Fantasy"
5811,La isla de la fantasía,2020,"Fantasy, Horror, Mystery"
5812,El Hobbit: La desolación de Smaug,2013,"Adventure, Fantasy"
5813,Valerian y la ciudad de los mil planetas,2017,"Action, Adventure, Fantasy"
5814,La bella y la bestia,1991,"Animation, Family, Fantasy"
5815,Tomb Raider: Las aventuras de Lara Croft,2018,"Action, Adventure, Fantasy"
5816,Rescate en el barrio chino,1986,"Action, Adventure, Comedy"
5817,The Munsters,,"Comedy, Family, Fantasy"
5818,Untitled Super Mario Project,2023,"Animation, Adventure, Comedy"
5819,El gato,2003,"Adventure, Comedy, Family"
5820,Misfits,2009–2013,"Comedy, Drama, Fantasy"
5821,Godzilla II: el rey de los monstruos,2019,"Action, Adventure, Fantasy"
5822,Pequeña gran vida,2017,"Drama, Fantasy, Sci-Fi"
5823,La momia,2017,"Action, Adventure, Fantasy"
5824,Aladdín,1992,"Animation, Adventure, Comedy"
5825,La plaga,2014–2017,"Drama, Fantasy, Horror"
5826,El Cuervo,1994,"Action, Crime, Drama"
5827,Vanilla Sky,2001,"Fantasy, Mystery, Romance"
5828,Jumanji,1995,"Adventure, Comedy, Family"
5829,Kenpû Denki Berserk,1997–1998,"Animation, Action, Adventure"
5830,Trabajo incógnito,2021– ,"Animation, Comedy, Fantasy"
5831,Cazafantasmas,2016,"Action, Comedy, Fantasy"
5832,Shrek 2,2004,"Animation, Adventure, Comedy"
5833,La momia regresa,2001,"Action, Adventure, Fantasy"
5834,47 Ronin: La Leyenda del Samurai,2013,"Action, Drama, Fantasy"
5835,Iron Fist,2017–2018,"Action, Adventure, Crime"
5836,Teen Wolf: The Movie,TV Movie,"Action, Comedy, Drama"
5837,The Lost Girls,2022,"Drama, Fantasy"
5838,Cenicienta,I) (2021,"Comedy, Family, Fantasy"
5839,Los tres mosqueteros,2011,"Action, Adventure, Fantasy"
5840,El último maestro del aire,2010,"Action, Adventure, Family"
5841,Van Helsing: Cazador de monstruos,2004,"Action, Adventure, Fantasy"
5842,Power Rangers,2017,"Action, Adventure, Fantasy"
5843,La sirenita,1989,"Animation, Adventure, Comedy"
5844,Las locuras del emperador,2000,"Animation, Adventure, Comedy"
5845,Pirates of the Caribbean: Tales of the Code: Wedlocked,2011,"Short, Action, Adventure"
5846,Miracle Workers,2019– ,"Comedy, Drama, Fantasy"
5847,Lilo y Stitch,2002,"Animation, Adventure, Comedy"
5848,"Conan, el bárbaro",2011,"Action, Adventure, Fantasy"
5849,Una noche en el museo,2006,"Adventure, Comedy, Family"
5850,Clifford: El Gran Perro Rojo,2021,"Adventure, Comedy, Family"
5851,La saga crepúsculo: Amanecer parte 2,2012,"Adventure, Drama, Fantasy"
5852,Yesterday,III) (2019,"Comedy, Fantasy, Music"
5853,Ahsoka,,"Action, Adventure, Drama"
5854,¡Qué bello es vivir!,1946,"Drama, Family, Fantasy"
5855,Inmortales,2011,"Action, Drama, Fantasy"
5856,Inframundo,2003,"Action, Fantasy, Thriller"
5857,"Mentiroso, mentiroso",1997,"Comedy, Fantasy"
5858,Evil Dead: The Game,2022 Video Game,"Action, Fantasy, Horror"
5859,El cadáver de la novia,2005,"Animation, Drama, Family"
5860,Una aventura extraordinaria,2012,"Adventure, Drama, Fantasy"
5861,Nancy Drew,2019– ,"Drama, Fantasy, Horror"
5862,Percy Jackson and the Olympians,,"Action, Adventure, Drama"
5863,Hellboy,2019,"Action, Adventure, Fantasy"
5864,La danza de la muerte,1994,"Adventure, Drama, Fantasy"
5865,Descendientes,2015 TV Movie,"Comedy, Family, Fantasy"
5866,Sorry to Bother You,2018,"Comedy, Drama, Fantasy"
5867,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy"
5868,Los 4 Fantásticos y Silver Surfer,2007,"Action, Adventure, Fantasy"
5869,Desde mi cielo,2009,"Drama, Fantasy, Thriller"
5870,Ponyo y el secreto de la sirenita,2008,"Animation, Adventure, Comedy"
5871,Kung Fu Panda 3,2016,"Animation, Action, Adventure"
5872,Highlander - El inmortal,1986,"Action, Adventure, Fantasy"
5873,Enter the Void,2009,"Drama, Fantasy"
5874,Samaritan,2022,"Action, Drama, Fantasy"
5875,Tate no Yuusha no Nariagari,2019– ,"Animation, Action, Adventure"
5876,The Lake House,2006,"Drama, Fantasy, Romance"
5877,Mary Poppins,1964,"Comedy, Family, Fantasy"
5878,Las aventuras del niño tiburón y la niña de fuego,2005,"Action, Adventure, Comedy"
5879,Preacher,2016–2019,"Adventure, Drama, Fantasy"
5880,Hellboy,2004,"Action, Adventure, Fantasy"
5881,Hechizo de amor,1998,"Comedy, Drama, Fantasy"
5882,Los locos Addams,1991,"Comedy, Fantasy"
5883,Frozen 2,2019,"Animation, Adventure, Comedy"
5884,The School for Good and Evil,2022,"Action, Drama, Fantasy"
5885,Britannia,2017– ,"Action, Drama, Fantasy"
5886,Toy Story 3,2010,"Animation, Adventure, Comedy"
5887,Monster Hunter: La Cacería Comienza,I) (2020,"Action, Adventure, Fantasy"
5888,The Twilight Zone,2019–2020,"Drama, Fantasy, Horror"
5889,17 otra vez,2009,"Comedy, Drama, Fantasy"
5890,Furia de titanes,2010,"Action, Adventure, Fantasy"
5891,Paddington 2,2017,"Adventure, Comedy, Family"
5892,Mario Bros.,1993,"Adventure, Comedy, Family"
5893,El mundo mágico de Terabithia,2007,"Drama, Family, Fantasy"
5894,Todopoderoso,2003,"Comedy, Fantasy"
5895,La princesa Mononoke,1997,"Animation, Action, Adventure"
5896,Los padrinos mágicos,2001–2017,"Animation, Adventure, Comedy"
5897,Peter Pan,2003,"Adventure, Family, Fantasy"
5898,Sweet Tooth,2021– ,"Action, Adventure, Drama"
5899,Pokémon,1997– ,"Animation, Action, Adventure"
5900,DC Showcase: Constantine - The House of Mystery,2022 Video,"Animation, Fantasy, Horror"
5901,Space Jam 2: Una Nueva Era,2021,"Animation, Adventure, Comedy"
5902,Mulan,1998,"Animation, Adventure, Comedy"
5903,Peter Pan & Wendy,2022,"Action, Adventure, Comedy"
5904,Motherland: Fort Salem,2020–2022,"Drama, Fantasy, Sci-Fi"
5905,Atlantis: El imperio perdido,2001,"Animation, Action, Adventure"
5906,"Ghost, la sombra del amor",1990,"Drama, Fantasy, Romance"
5907,Dogma,1999,"Adventure, Comedy, Drama"
5908,Miss Peregrine y los niños peculiares,2016,"Adventure, Drama, Family"
5909,The Hardy Boys,2020– ,"Adventure, Drama, Family"
5910,Drácula: la historia jamás contada,2014,"Action, Drama, Fantasy"
5911,LEGO Batman: La película,2017,"Animation, Action, Adventure"
5912,Tom y Jerry: la película,2021,"Animation, Adventure, Comedy"
5913,El Hobbit: La batalla de los cinco ejércitos,2014,"Adventure, Fantasy"
5914,Casper,1995,"Comedy, Family, Fantasy"
5915,Hansel y Gretel: Cazadores de brujas,2013,"Action, Fantasy, Horror"
5916,La cura siniestra,2016,"Drama, Fantasy, Horror"
5917,Éxodo: Dioses y Reyes,2014,"Action, Adventure, Drama"
5918,Las vidas posibles de Mr. Nobody,2009,"Drama, Fantasy, Romance"
5919,El Libro de la Selva,2016,"Adventure, Drama, Family"
5920,El último gran héroe,1993,"Action, Adventure, Comedy"
5921,Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure"
5922,El Perfume: Historia de un asesino,2006,"Crime, Drama, Fantasy"
5923,Este cuerpo no es mío,2002,"Comedy, Fantasy"
5924,Matilda,I) (2022,"Comedy, Drama, Family"
5925,Alicia a través del espejo,2016,"Adventure, Family, Fantasy"
5926,Valiente,2012,"Animation, Adventure, Comedy"
5927,Hechizo del tiempo,1993,"Comedy, Drama, Fantasy"
5928,Los cazafantasmas II,1989,"Action, Comedy, Fantasy"
5929,Excalibur,1981,"Adventure, Drama, Fantasy"
5930,La gran aventura Lego,2014,"Animation, Action, Adventure"
5931,The Defenders,2017,"Action, Adventure, Crime"
5932,Home Movie: The Princess Bride,2020– ,"Short, Comedy, Fantasy"
5933,Maléfica,2014,"Adventure, Family, Fantasy"
5934,(Des)encanto,2018– ,"Animation, Action, Adventure"
5935,Blancanieves y el Cazador,2012,"Action, Adventure, Drama"
5936,El príncipe de Egipto,1998,"Animation, Adventure, Drama"
5937,Merlín,1998,"Action, Adventure, Drama"
5938,Pinocchio,2022,"Animation, Drama, Family"
5939,Krull,1983,"Action, Adventure, Fantasy"
5940,Lovecraft Country,2020,"Drama, Fantasy, Horror"
5941,The Librarians,2013–2018,"Action, Adventure, Comedy"
5942,One Piece,2022– ,"Action, Adventure, Comedy"
5943,La fiesta de las salchichas,2016,"Animation, Adventure, Comedy"
5944,Final Space,2018–2021,"Animation, Action, Adventure"
5945,Pico de Azúcar,2012,"Animation, Adventure, Comedy"
5946,Planeta Terror,2007,"Action, Comedy, Fantasy"
5947,Furia de titanes,1981,"Action, Adventure, Family"
5948,La leyenda de Sleepy Hollow,2013–2017,"Action, Adventure, Crime"
5949,Drácula,2020,"Action, Drama, Fantasy"
5950,La gran muralla,I) (2016,"Action, Adventure, Fantasy"
5951,La invención de Hugo Cabret,2011,"Adventure, Drama, Family"
5952,Ally McBeal,1997–2002,"Comedy, Drama, Fantasy"
5953,El imaginario mundo del Doctor Parnassus,2009,"Adventure, Comedy, Fantasy"
5954,El jardín secreto,1993,"Drama, Family, Fantasy"
5955,Click: Perdiendo el control,2006,"Comedy, Drama, Fantasy"
5956,"Buffy, la caza vampiros",1992,"Action, Comedy, Fantasy"
5957,El guerrero rojo,1985,"Action, Adventure, Fantasy"
5958,Dungeons & Dragons: Honor Among Thieves,2023,"Action, Adventure, Fantasy"
5959,Gremlins,1984,"Comedy, Fantasy, Horror"
5960,I Am Groot,2022– ,"Animation, Short, Action"
5961,Akira,1988,"Animation, Action, Drama"
5962,Wicked - Part One,2024,"Action, Adventure, Family"
5963,Sólo los amantes sobreviven,2013,"Comedy, Drama, Fantasy"
5964,¿Qué le pasó a Lunes?,2017,"Action, Crime, Fantasy"
5965,H2O,2006–2010,"Drama, Family, Fantasy"
5966,Ciudad en tinieblas,1998,"Fantasy, Mystery, Sci-Fi"
5967,MultiVersus,2022 Video Game,"Action, Fantasy, Sci-Fi"
5968,Steven Universe,2013–2020,"Animation, Short, Action"
5969,Quisiera ser grande,1988,"Comedy, Drama, Fantasy"
5970,Otra dimensión,2021– ,"Comedy, Drama, Fantasy"
5971,La princesa y el sapo,2009,"Animation, Adventure, Comedy"
5972,Ragnarok,2020– ,"Action, Drama, Fantasy"
5973,Toy Story 2,1999,"Animation, Adventure, Comedy"
5974,Mad God,2021,"Animation, Fantasy, Horror"
5975,Blade,,"Action, Adventure, Fantasy"
5976,Un Jefe En Pañales 2: Negocios De Familia,2021,"Animation, Adventure, Comedy"
5977,El campo de los sueños,1989,"Drama, Family, Fantasy"
5978,Cómo entrenar a tu dragón 3,2019,"Animation, Action, Adventure"
5979,Las brujas,2020,"Adventure, Comedy, Family"
5980,Fiebre del azúcar en línea,2018,"Animation, Adventure, Comedy"
5981,The Monkey King: The Legend Begins,2022,Fantasy
5982,Warrior Nun,2020– ,"Action, Drama, Fantasy"
5983,Hemlock Grove,2013–2015,"Drama, Fantasy, Horror"
5984,The Outer Limits,1995–2002,"Drama, Fantasy, Horror"
5985,El Increíble Mundo de Gumball,2011–2019,"Animation, Short, Adventure"
5986,Good Witch,2015–2021,"Comedy, Drama, Fantasy"
5987,Trolls 2 Wolrd Tour,2020,"Animation, Adventure, Comedy"
5988,Nosferatu,1922,"Fantasy, Horror"
5989,El cementerio maldito,1989,"Fantasy, Horror, Thriller"
5990,Close Enough,2020– ,"Animation, Action, Adventure"
5991,Wynonna Earp,2016–2021,"Action, Drama, Fantasy"
5992,Little Monsters,1989,"Adventure, Comedy, Family"
5993,La muerte le sienta bien,1992,"Comedy, Fantasy, Horror"
5994,Unidos,I) (2020,"Animation, Adventure, Comedy"
5995,The Wheel of Time: Origins,2021– ,"Animation, Drama, Fantasy"
5996,The Gifted,I) (2017–2019,"Action, Drama, Fantasy"
5997,Hércules,I) (2014,"Action, Adventure, Fantasy"
5998,Paddington,2014,"Adventure, Comedy, Family"
5999,Cielo rojo sangre,2021,"Action, Adventure, Fantasy"
6000,The Lost City,2022,"Action, Adventure, Comedy"
6001,This Is Us,2016–2022,"Comedy, Drama, Romance"
6002,A Perfect Pairing,2022,"Comedy, Romance"
6003,Friends,1994–2004,"Comedy, Romance"
6004,The Valet,2022,"Comedy, Romance"
6005,The Big Bang Theory,2007–2019,"Comedy, Romance"
6006,Modern Family,2009–2020,"Comedy, Drama, Romance"
6007,WandaVision,2021,"Action, Comedy, Drama"
6008,Our Flag Means Death,2022– ,"Action, Adventure, Biography"
6009,How I Met Your Mother,2005–2014,"Comedy, Romance"
6010,Castle,2009–2016,"Comedy, Crime, Drama"
6011,Licorice Pizza,2021,"Comedy, Drama, Romance"
6012,Bros,2022,"Comedy, Romance"
6013,Barbie,2023,"Adventure, Comedy, Fantasy"
6014,A Million Little Things,2018– ,"Comedy, Drama, Romance"
6015,Bones,2005–2017,"Comedy, Crime, Drama"
6016,Modern Love: Mumbai,2022– ,"Comedy, Romance"
6017,Verdens verste menneske,2021,"Comedy, Drama, Romance"
6018,Sex and the City,1998–2004,"Comedy, Drama, Romance"
6019,Two and a Half Men,2003–2015,"Comedy, Romance"
6020,New Girl,2011–2018,"Comedy, Romance"
6021,The Time Traveler's Wife,2009,"Comedy, Drama, Fantasy"
6022,Clueless,1995,"Comedy, Romance"
6023,Pitch Perfect,2012,"Comedy, Music, Romance"
6024,Sex/Life,2021– ,"Comedy, Drama, Romance"
6025,"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance"
6026,The French Dispatch,2021,"Comedy, Drama, Romance"
6027,The O.C.,2003–2007,"Comedy, Drama, Romance"
6028,Grease,1978,"Comedy, Musical, Romance"
6029,The Good Place,2016–2020,"Comedy, Drama, Fantasy"
6030,She's All That,1999,"Comedy, Romance"
6031,Forgetting Sarah Marshall,2008,"Comedy, Drama, Romance"
6032,Father of the Bride,2022,"Comedy, Drama, Fantasy"
6033,That '90s Show,,"Comedy, Drama, Romance"
6034,Desperate Housewives,2004–2012,"Comedy, Drama, Mystery"
6035,That '70s Show,1998–2006,"Comedy, Drama, Romance"
6036,Emma.,2020,"Comedy, Drama, Romance"
6037,Disenchanted,2022,"Animation, Adventure, Comedy"
6038,Swiss Army Man,2016,"Comedy, Drama, Fantasy"
6039,Crush,2022,"Comedy, Romance"
6040,Hocus Pocus 2,2022,"Comedy, Family, Fantasy"
6041,Sen Çal Kapimi,2020–2021,"Comedy, Romance"
6042,Marry Me,2022,"Comedy, Music, Romance"
6043,iCarly,2021– ,"Comedy, Drama, Romance"
6044,Sweet Home Alabama,2002,"Comedy, Romance"
6045,Love Life,2020– ,"Comedy, Romance"
6046,The Proposal,I) (2009,"Comedy, Drama, Romance"
6047,10 Things I Hate About You,1999,"Comedy, Drama, Romance"
6048,"Love, Victor",2020–2022,"Comedy, Drama, Romance"
6049,Pretty Woman,1990,"Comedy, Romance"
6050,Mom,2013–2021,"Comedy, Drama, Romance"
6051,Realmente amor,2003,"Comedy, Drama, Romance"
6052,Locamente millonarios,2018,"Comedy, Drama, Romance"
6053,Damas en Guerra,I) (2011,"Comedy, Romance"
6054,My Fake Boyfriend,2022,"Comedy, Romance"
6055,"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
6056,Tienes un e-mail,1998,"Comedy, Drama, Romance"
6057,Spontaneous,II) (2020,"Comedy, Drama, Horror"
6058,Ugly Betty,2006–2010,"Comedy, Drama, Romance"
6059,Cuestión de tiempo,I) (2013,"Comedy, Drama, Fantasy"
6060,Beach Blanket Bingo,1965,"Comedy, Musical, Romance"
6061,Dos bribones tras la esmeralda perdida,1984,"Action, Adventure, Comedy"
6062,Cuando Harry encontró a Sally...,1989,"Comedy, Drama, Romance"
6063,Emily en París,2020– ,"Comedy, Drama, Romance"
6064,Hairspray,2007,"Comedy, Drama, Musical"
6065,El graduado,1967,"Comedy, Drama, Romance"
6066,La niñera,1993–1999,"Comedy, Family, Romance"
6067,El crucero del amor,1977–1987,"Comedy, Drama, Romance"
6068,Mamma mia!,2008,"Comedy, Musical, Romance"
6069,La chica de al lado,2004,"Comedy, Drama, Romance"
6070,Big Mouth,2017– ,"Animation, Comedy, Romance"
6071,Legalmente rubia,2001,"Comedy, Romance"
6072,Shrek,2001,"Animation, Adventure, Comedy"
6073,The Hating Game,2021,"Comedy, Romance"
6074,Road Trip Romance,2022,"Comedy, Drama, Family"
6075,Bienvenido a los 40,2012,"Comedy, Drama, Romance"
6076,La La Land: una historia de amor,2016,"Comedy, Drama, Music"
6077,Destinos Opuestos,1991,"Comedy, Romance"
6078,Scott Pilgrim vs. los ex de la chica de sus sueños,2010,"Action, Comedy, Fantasy"
6079,Sex Appeal,2022,"Comedy, Drama, Romance"
6080,Doc Martin,2004–2022,"Comedy, Drama, Romance"
6081,Don,2022,"Action, Comedy, Romance"
6082,Vicky Cristina Barcelona,2008,"Comedy, Drama, Romance"
6083,Amor sin escalas,I) (2009,"Comedy, Drama, Romance"
6084,Hechizada,1964–1972,"Comedy, Family, Fantasy"
6085,A la mierda el amor... otra vez,2022,"Comedy, Romance"
6086,I Want You Back,2022,"Comedy, Romance"
6087,La mejor de mis bodas,1998,"Comedy, Music, Romance"
6088,Aladdin,2019,"Adventure, Comedy, Family"
6089,La vida es bella,1997,"Comedy, Drama, Romance"
6090,Encantada,2007,"Animation, Adventure, Comedy"
6091,Una esposa de mentira,2011,"Comedy, Romance"
6092,Good Trouble,2019– ,"Comedy, Drama, Romance"
6093,The End of the F***ing World,2017–2019,"Adventure, Comedy, Crime"
6094,The Archies,2023,"Comedy, Drama, Musical"
6095,Medianoche en París,2011,"Comedy, Fantasy, Romance"
6096,En el corazón del sur,2011–2015,"Comedy, Drama, Romance"
6097,Anything Goes,2021,"Comedy, Musical, Romance"
6098,Belleza invaluable,2006,"Comedy, Drama, Romance"
6099,De amor y otras adicciones,2010,"Comedy, Drama, Romance"
6100,Crossing Delancey,1988,"Comedy, Romance"
6101,La langosta,2015,"Comedy, Drama, Romance"
6102,Virgen a los 40,2005,"Comedy, Romance"
6103,La era del rock,2012,"Comedy, Drama, Musical"
6104,La secretaria,2002,"Comedy, Drama, Romance"
6105,Amelie,2001,"Comedy, Romance"
6106,Isn't It Romantic,2019,"Comedy, Fantasy, Musical"
6107,Recursos Humanos,2022– ,"Animation, Comedy, Romance"
6108,Empire Records,1995,"Comedy, Drama, Music"
6109,El diario de la princesa,2001,"Comedy, Family, Romance"
6110,Enredados,2010,"Animation, Adventure, Comedy"
6111,Jerry Maguire - Amor y desafío,1996,"Comedy, Drama, Romance"
6112,Modern Love,2019– ,"Comedy, Romance"
6113,A través de mi ventana,2022,"Comedy, Drama, Romance"
6114,Hércules,1997,"Animation, Adventure, Comedy"
6115,Dick Tracy,1990,"Action, Comedy, Crime"
6116,Coyote Ugly,2000,"Comedy, Drama, Music"
6117,Victorious,2010–2013,"Comedy, Drama, Family"
6118,A Business Proposal,2022– ,"Comedy, Drama, Romance"
6119,Mi primer beso,1991,"Comedy, Drama, Family"
6120,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,2019– ,"Animation, Comedy, Romance"
6121,And Just Like That...,2021– ,"Comedy, Drama, Romance"
6122,Eureka,2006–2012,"Adventure, Comedy, Drama"
6123,El séptimo cielo,1996–2007,"Comedy, Drama, Family"
6124,Negocios riesgosos,1983,"Comedy, Crime, Drama"
6125,Happy Endings,2011–2020,"Comedy, Romance"
6126,Magnolias de acero,1989,"Comedy, Drama, Romance"
6127,La magnífica aventura de Bill y Ted,1989,"Adventure, Comedy, Music"
6128,Palm Springs,2020,"Comedy, Fantasy, Mystery"
6129,Will y Grace,1998–2020,"Comedy, Romance"
6130,Asteroid City,2022,"Comedy, Romance"
6131,The Ballad of Buster Scruggs,2018,"Comedy, Drama, Musical"
6132,500 días con ella,2009,"Comedy, Drama, Romance"
6133,Salvado por la campana,1989–1992,"Comedy, Family, Romance"
6134,La increíble vida de Walter Mitty,2013,"Adventure, Comedy, Drama"
6135,Los juegos del destino,2012,"Comedy, Drama, Romance"
6136,Los años maravillosos,1988–1993,"Comedy, Drama, Family"
6137,Juego de gemelas,1998,"Adventure, Comedy, Drama"
6138,Travesuras de un lobo adolescente,1985,"Comedy, Fantasy, Romance"
6139,Valley Girl,1983,"Comedy, Romance"
6140,Amigos con beneficios,2011,"Comedy, Romance"
6141,Private Practice,2007–2013,"Comedy, Drama, Romance"
6142,Un lugar llamado Notting Hill,1999,"Comedy, Drama, Romance"
6143,Mike y Dave: Los busca novias,2016,"Comedy, Romance"
6144,Si yo tuviera 30,2004,"Comedy, Fantasy, Romance"
6145,90210,2008–2013,"Comedy, Drama, Romance"
6146,iCarly,2007–2012,"Comedy, Family, Romance"
6147,High School DxD,2012–2018,"Animation, Action, Comedy"
6148,¿Cómo saber si es amor?,2010,"Comedy, Drama, Romance"
6149,Moonrise Kingdom - Un reino bajo la luna,2012,"Comedy, Drama, Romance"
6150,Untitled Super Mario Project,2023,"Animation, Adventure, Comedy"
6151,Misfits,2009–2013,"Comedy, Drama, Fantasy"
6152,Younger,2015–2021,"Comedy, Romance"
6153,Aladdín,1992,"Animation, Adventure, Comedy"
6154,Bob Hearts Abishola,2019– ,"Short, Comedy, Romance"
6155,Love,2016–2018,"Comedy, Drama, Romance"
6156,Sueños de Marte,2022,"Comedy, Romance, Sci-Fi"
6157,Jugando con el destino,2002,"Comedy, Drama, Romance"
6158,Dickinson,2019–2021,"Biography, Comedy, Drama"
6159,Shrek 2,2004,"Animation, Adventure, Comedy"
6160,Una chica en apuros,2006,"Comedy, Romance, Sport"
6161,Cenicienta,I) (2021,"Comedy, Family, Fantasy"
6162,Mamma mia! vamos otra vez,2018,"Comedy, Musical, Romance"
6163,Ciencia loca,1985,"Comedy, Romance, Sci-Fi"
6164,Lujuria en el convento,2017,"Comedy, Romance"
6165,Los cazanovias,2005,"Comedy, Romance"
6166,La sirenita,1989,"Animation, Adventure, Comedy"
6167,Miracle Workers,2019– ,"Comedy, Drama, Fantasy"
6168,Yesterday,III) (2019,"Comedy, Fantasy, Music"
6169,The Last Man on Earth,2015–2018,"Action, Comedy, Drama"
6170,La tiendita de los horrores,1986,"Comedy, Horror, Musical"
6171,La chica de rosa,1986,"Comedy, Drama, Romance"
6172,Se dice de mí,2010,"Comedy, Drama, Romance"
6173,Amigos con derechos,I) (2011,"Comedy, Romance"
6174,Nuestro video prohibido,2014,"Comedy, Romance"
6175,Se busca novio,1984,"Comedy, Romance"
6176,Sono Bisque Doll wa Koi wo Suru,2022– ,"Animation, Comedy, Romance"
6177,Cheaper by the Dozen,2022,"Adventure, Comedy, Family"
6178,Crash Landing on You,2019–2020,"Adventure, Comedy, Romance"
6179,Tate no Yuusha no Nariagari,2019– ,"Animation, Action, Adventure"
6180,Él es así,2021,"Comedy, Romance"
6181,Tiro al blanco,1997,"Action, Comedy, Crime"
6182,Hechizo de amor,1998,"Comedy, Drama, Fantasy"
6183,Ligeramente embarazada,2007,"Comedy, Romance"
6184,La pandilla: los pequeños traviesos,1994,"Comedy, Family, Romance"
6185,Alguien tiene que ceder,2003,"Comedy, Drama, Romance"
6186,Virgin Territory,2007,"Adventure, Comedy, History"
6187,17 otra vez,2009,"Comedy, Drama, Fantasy"
6188,High School Musical,2006 TV Movie,"Comedy, Drama, Family"
6189,Ni en Tus Sueños,2010,"Comedy, Romance"
6190,KinnPorsche la Serie La 'forte,2022,"Action, Comedy, Romance"
6191,Can You Keep a Secret?,2019,"Comedy, Romance"
6192,Triunfos robados,2000,"Comedy, Romance, Sport"
6193,Peter Pan & Wendy,2022,"Action, Adventure, Comedy"
6194,A él no le gustas tanto,2009,"Comedy, Drama, Romance"
6195,"Komi-san wa, Komyushou Desu.",2021– ,"Animation, Comedy, Drama"
6196,Frívola Lola,1998,"Comedy, Romance"
6197,Focus: Maestros de la Estafa,II) (2015,"Comedy, Crime, Drama"
6198,Esta chica es un desastre,2015,"Comedy, Drama, Romance"
6199,Amor en las montañas,2020,"Comedy, Drama, Romance"
6200,Miss Simpatía,2000,"Action, Comedy, Crime"
6201,Un príncipe en Nueva York,1988,"Comedy, Romance"
6202,Entre copas,2004,"Comedy, Drama, Romance"
6203,Cantando bajo la lluvia,1952,"Comedy, Musical, Romance"
6204,Como Si Fuera La Primera Vez,2004,"Comedy, Drama, Romance"
6205,La máscara del Zorro,1998,"Action, Adventure, Comedy"
6206,Gigoló por accidente,1999,"Comedy, Romance"
6207,Digan lo que digan,1989,"Comedy, Drama, Romance"
6208,Tal vez es para siempre,2014,"Comedy, Romance"
6209,Hechizo del tiempo,1993,"Comedy, Drama, Fantasy"
6210,Corazones en conflicto,1993,"Comedy, Drama, Romance"
6211,Loco por Mary,1998,"Comedy, Romance"
6212,"Les Olympiades, Paris 13e",2021,"Comedy, Drama, Romance"
6213,Misterio a bordo,2019,"Action, Comedy, Crime"
6214,Casarse... está en griego,2002,"Comedy, Drama, Romance"
6215,Tres hombres y una pequeña dama,1990,"Comedy, Drama, Family"
6216,Drop Dead Gorgeous,1999,"Comedy, Romance, Thriller"
6217,Saunkan Saunkne,2022,"Comedy, Drama, Romance"
6218,Cuatro bodas y un funeral,1994,"Comedy, Drama, Romance"
